Designator,Mid X,Mid Y,Layer,Rotation
C1,59.05,74.93,Top,270.0
C2,55.25,74.93,Top,270.0
C3,40.01,73.66,Top,270.0
C4,36.20,73.66,Top,270.0
C5,53.98,40.64,Top,180.0
C6,53.98,38.10,Top,180.0
C7,60.33,66.04,Top,180.0
J2,73.03,59.69,Top,180.0
PWR,71.76,69.85,Top,270.0
R1,18.41,73.66,Top,90.0
TP3V3,38.73,48.26,Top,0.0
TPCLKOUT,14.61,35.56,Top,0.0
TPSQW, 4.45,64.14,Top,0.0
TPVBUS,66.67,54.61,Top,0.0
U$3, 4.45,39.37,Top,90.0
U2,56.52,25.40,Top,90.0
U4,59.05,58.42,Top,0.0
U5, 8.26,55.88,Top,270.0
U6,47.62,71.12,Top,180.0
